id;name;surname;age;adress
1;IB Tennessee;Handmade protocol;67;Direct
2;AI;Balboa US Dollar Clothing;21;Orchestrator Soap attitude-oriented
3;Practical Granite Fish International Virginia;overriding Singapore Dollar;69;Alabama Maryland Checking Account
4;maroon;transmitting background;27;Persevering
5;Awesome;Division transmit;88;Benin
6;bifurcated;synthesizing infrastructures Ouguiya;66;Vision-oriented Dynamic Factors
7;turquoise Palladium;EXE;57;Mouse Handcrafted Handcrafted
8;turn-key Centralized Plastic;tan;106;Pants virtual
9;Jordan superstructure Mews;Up-sized Shoes Freeway;90;Intelligent Frozen Car Handmade
10;Centralized Strategist;Outdoors Ameliorated Chief;67;architect Credit Card Account
